,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ENSEMBL,symbol
ENSMUSG00000018341,132.00062234173,0.142780553415717,0.178283851202646,0.800860832052736,0.423212217377423,0.681151713676031,ENSMUSG00000018341,Il12rb2
ENSMUSG00000018417,77.0327063077577,0.118490181079023,0.221474756825282,0.53500535581352,0.592646153788368,0.805506029583514,ENSMUSG00000018417,Myo1b
ENSMUSG00000018459,5.29453424163459,0.906259861284153,1.06709474205055,0.849277787221277,0.395726737955121,NA,ENSMUSG00000018459,Slc13a3
ENSMUSG00000018589,0,NA,NA,NA,NA,NA,ENSMUSG00000018589,Glra2
ENSMUSG00000018595,1.00045774941737,-1.04951993879759,2.24015527062987,-0.468503211611081,0.639424774841735,NA,ENSMUSG00000018595,Glra4
ENSMUSG00000018604,0.155746344122441,0.904576865725523,4.40735632396697,0.205242508032873,0.837382659683163,NA,ENSMUSG00000018604,Tbx3
ENSMUSG00000018656,0.169713763516104,0,4.40735632395645,0,1,NA,ENSMUSG00000018656,Tcaf3
ENSMUSG00000018770,4409.9200309889,-0.206820533814193,0.044209532063578,-4.67818871090432,2.89420128443956e-06,6.88943501481005e-05,ENSMUSG00000018770,Atp5g3
ENSMUSG00000018819,4171.90091759622,0.0722123688665838,0.0377850362153295,1.91113668530208,0.0559870178190714,0.208848853052245,ENSMUSG00000018819,Lsp1
ENSMUSG00000018909,5908.18463828867,0.0765677889863028,0.0435698545310181,1.7573570031498,0.0788569772523998,0.260609842312896,ENSMUSG00000018909,Arrb1
ENSMUSG00000018965,5816.77369966292,-0.129281608350318,0.0333263693599278,-3.87925870214259,0.0001047752778306,0.00157847259776776,ENSMUSG00000018965,Ywhah
ENSMUSG00000018974,1586.04577779068,-0.0448949186577202,0.0525462048206863,-0.854389366671179,0.392889285650576,0.657337776817584,ENSMUSG00000018974,Sart3
ENSMUSG00000018983,2312.59441912179,-0.150279266346389,0.050669920001257,-2.96584771285727,0.00301849914510544,0.0249885405712999,ENSMUSG00000018983,E2f2
ENSMUSG00000018995,168.667052271497,0.110456324705948,0.134548435074911,0.820940984147831,0.411679884764074,0.672049172768764,ENSMUSG00000018995,Nars2
ENSMUSG00000018999,852.775491036474,0.131374479723193,0.0654204038739402,2.0081575768982,0.0446265494771311,0.18035911102544,ENSMUSG00000018999,Slc35b4
ENSMUSG00000019054,1893.89457021092,-0.02078467631908,0.0479745640050945,-0.43324367297789,0.664837754121016,0.847332596086725,ENSMUSG00000019054,Fis1
ENSMUSG00000019055,1740.87125922776,0.0171890657683321,0.0498021330994853,0.345147179418902,0.729983726145776,0.881223812342375,ENSMUSG00000019055,Plod1
ENSMUSG00000019082,360.071089603696,-0.0911001041993941,0.105139415011555,-0.866469574606077,0.386232704333399,0.650758327276097,ENSMUSG00000019082,Slc25a22
ENSMUSG00000019087,4183.67377388363,0.0598671923671898,0.0443333556604298,1.35038711767594,0.176891840877706,0.420629052126191,ENSMUSG00000019087,Atp6ap1
ENSMUSG00000019088,545.403017937748,0.209625430958633,0.077267638638838,2.71297835227575,0.00666814625054934,0.046173116221454,ENSMUSG00000019088,Dnase1l1
ENSMUSG00000019124,6.64313110111261,-0.414049931158033,0.821002469759724,-0.504322394156999,0.614034843157435,NA,ENSMUSG00000019124,Scrn1
ENSMUSG00000019158,826.66717523805,0.0660657595663857,0.0650121613981079,1.0162061704398,0.309531218665644,0.578759918792029,ENSMUSG00000019158,Tmem160
ENSMUSG00000019178,4.24199901211708,-0.673137937046361,1.01615270873857,-0.66243777264736,0.507690702700613,NA,ENSMUSG00000019178,Styxl1
ENSMUSG00000019179,6562.49508693026,-0.0658511374446237,0.0323918468830264,-2.03295408509511,0.0420571620105725,0.173226820621133,ENSMUSG00000019179,Mdh2
ENSMUSG00000019188,2692.15914320437,-0.00293454344771113,0.0426498145351042,-0.0688055383053489,0.945144409607917,0.977071387877525,ENSMUSG00000019188,H13
ENSMUSG00000019194,34.9665829520679,0.453130648531556,0.334299088393347,1.35546480461349,0.175269514683041,0.417959994194246,ENSMUSG00000019194,Scn1b
ENSMUSG00000019210,2640.3572971655,0.0421462797814393,0.0442741957908416,0.951937782914117,0.341128536371646,0.61047048501971,ENSMUSG00000019210,Atp6v1e1
ENSMUSG00000019230,0.480249182932802,3.10667528762555,3.40852213993157,0.911443481980117,0.362061751936744,NA,ENSMUSG00000019230,Lhx9
ENSMUSG00000019232,0.659072976998765,-2.64199203789703,2.91316958567525,-0.906913229799025,0.364452684454722,NA,ENSMUSG00000019232,Etnppl
ENSMUSG00000019254,2741.52347726978,0.133802320700911,0.0441333527150079,3.0317733067991,0.00243121714465606,0.0211200149098758,ENSMUSG00000019254,Ppp1r12c
ENSMUSG00000019295,528.641804704344,0.145964003956004,0.0838625625871206,1.74051447336074,0.0817687209048384,0.266545309031415,ENSMUSG00000019295,Tmem129
ENSMUSG00000019338,966.890209881751,0.000894091154362895,0.0627898702564139,0.0142394171338738,0.988638972844219,0.995634762022732,ENSMUSG00000019338,Zfp687
ENSMUSG00000019359,1.58065208445899,-0.479100250583369,1.48138136979241,-0.323414524006406,0.746381331516906,NA,ENSMUSG00000019359,Gdpd2
ENSMUSG00000019370,7706.16208412374,-0.013084290728222,0.0343034177188174,-0.381428195740523,0.702885542362992,0.869378955781445,ENSMUSG00000019370,Calm3
ENSMUSG00000019429,0.237513485247409,-1.01895240100417,4.02662404808997,-0.253053771306887,0.800226661542671,NA,ENSMUSG00000019429,Ffar3
ENSMUSG00000019494,1948.90742252421,-0.171530805395591,0.0469306676135753,-3.65498327890766,0.000257198740578989,0.0034339368777103,ENSMUSG00000019494,Cops6
ENSMUSG00000019518,420.50767213262,0.069232247765134,0.0932811596740752,0.742188969423534,0.457972850827234,0.710431446934919,ENSMUSG00000019518,Ap4m1
ENSMUSG00000019528,2793.54689427007,0.0102681199382487,0.0433397364849087,0.236921605229976,0.812717608552842,0.923719490838407,ENSMUSG00000019528,Gyg
