"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSMUSG00000040606",66.4068946689446,-0.816084535047438,0.238142503046998,-3.42687476870259,0.000610570582354385,0.00467347886784342,"Kazn","71529"
"ENSMUSG00000040616",143.262351659073,-1.04672149501721,0.152094835399133,-6.88203180778863,5.90048335027659e-12,1.82722157605297e-10,"Tmem51","214359"
"ENSMUSG00000040751",354.778635362957,-0.764150358041678,0.110753590643947,-6.89955380768002,5.21661270347415e-12,1.63143966924492e-10,"Lat2","56743"
"ENSMUSG00000040855",69.736429822177,-0.678850620205608,0.221546712366219,-3.06414215293551,0.00218295156735943,0.0142267187429835,"Reps2","194590"
"ENSMUSG00000040896",3.10936948372465,-4.60452841972284,1.4650746815461,-3.14286259787361,0.00167304354406614,0.011235833184671,"Kcnd3","56543"
"ENSMUSG00000040964",448.533638233208,-0.574569707449913,0.111540919269809,-5.15120111266137,2.58823454344752e-07,4.31797720663886e-06,"Arhgef10l","72754"
"ENSMUSG00000041025",96.8532541691136,-0.728966430865154,0.196374511603903,-3.71212345691541,0.000205527688396449,0.00186015317597397,"Iffo2","212632"
"ENSMUSG00000041237",63.1250965174666,-3.90705120160489,0.35122505945999,-11.1240673077598,9.58025859147727e-29,9.45651358467069e-27,"Pklr","18770"
"ENSMUSG00000041301",35.3659779863491,-1.15152590734646,0.328138620986441,-3.50926661386208,0.000449344225000892,0.00361152321976968,"Cftr","12638"
"ENSMUSG00000041741",58.8031029051564,-1.35730190272961,0.269938318598178,-5.02819277299438,4.95123997950643e-07,7.84581104444865e-06,"Pde3a","54611"
"ENSMUSG00000041762",22.254137086577,-1.05303964639899,0.417887870310184,-2.51990957674209,0.0117384985038201,0.0555892113054468,"Gpr155","68526"
"ENSMUSG00000041842",113.460420721278,-1.53751387730766,0.178313347596434,-8.62253946792264,6.54853820328357e-18,3.33623376421049e-16,"Fhdc1","229474"
"ENSMUSG00000041872",2.15847184606718,-4.20684441961732,1.67099320517229,-2.51757123044888,0.011816707329437,0.0558561082112545,"Il17f","257630"
"ENSMUSG00000041930",4.37111899400722,-2.36771182637085,0.935718200202605,-2.53036846548265,0.011394279839811,0.0544214696381298,"Fam222a","433940"
"ENSMUSG00000041954",79.7977977027455,-0.621892303367526,0.221147622963881,-2.81211389493026,0.00492170725349947,0.027661979794876,"Tnfrsf18","21936"
"ENSMUSG00000042035",23.7728863173749,-1.68955963006543,0.392244571756957,-4.30741366922552,1.65174529960756e-05,0.000200408943138044,"Igsf3","78908"
"ENSMUSG00000042066",256.458412454444,-1.45554302582315,0.129935204420298,-11.2020682332938,3.98323946719665e-29,4.10273665121254e-27,"Tmcc2","68875"
"ENSMUSG00000042096",2.24630884808065,-4.17260363163334,1.55025887357275,-2.69155281273578,0.00711202368357659,0.0376080002374843,"Dao","13142"
"ENSMUSG00000042190",428.517290199011,-0.850943891643193,0.108834860267463,-7.81867031897671,5.33842200312822e-15,2.17111102582159e-13,"Cmklr1","14747"
"ENSMUSG00000042246",122.629165673404,-0.626737861724452,0.166173686471691,-3.77158306487485,0.000162215139673161,0.00150295212531781,"Tmc7","209760"
"ENSMUSG00000042367",55.4152094515707,-3.06209387142222,0.326115999913092,-9.38958490916807,6.02371770300972e-21,3.9096403392959e-19,"Gjb3","14620"
"ENSMUSG00000042476",153.60343032763,-2.59154736711262,0.184076368566487,-14.0786532638304,5.13796037277625e-45,8.1145520820713e-43,"Abcb4","18670"
"ENSMUSG00000042641",5.35896928587108,-2.87933875246605,1.01038861669847,-2.84973395867673,0.00437558117637923,0.0250255605139217,"Rgsl1","240816"
"ENSMUSG00000042671",2.81281796211669,-5.05218313009974,1.50037956455075,-3.36727002251092,0.000759163159317655,0.00569132127982128,"Rgs8","67792"
"ENSMUSG00000042817",126.275041636466,-1.18445148414882,0.179005628876493,-6.61683932277932,3.66959970700301e-11,1.05054763817403e-09,"Flt3","14255"
