"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019932","BP","GO:0019932","second-messenger-mediated signaling","28/465","425/23239",4.21443238243078e-08,6.13350427085907e-06,4.57725381685809e-06,"Cd36/Apoe/Aqp1/Fcer1a/Mrvi1/Abca1/Ada/Adora2a/Atp1b1/Nfatc2/Sla2/Gucy1b1/Pf4/Siglecg/Cd22/Lat/Itgal/Gucy1a1/Lpar1/Ptger3/Lat2/Pde3a/Cmklr1/Adgrd1/Ackr3/P2ry6/Kdr/Prnp",28
"GO:0045088","BP","GO:0045088","regulation of innate immune response","21/465","256/23239",5.62056228081938e-08,7.89785906701344e-06,5.89393990173764e-06,"Cd36/Slamf6/Lbp/Tnfaip3/Arg1/Irf7/Dab2ip/Rasgrp1/Zbp1/Smpdl3b/Klrk1/Nlrp6/Tnip3/Tlr1/Rab7b/Slamf8/Txk/Nectin2/Tlr12/Tlr5/Klrb1b",21
"GO:0050866","BP","GO:0050866","negative regulation of cell activation","18/465","192/23239",6.72328482034411e-08,9.13246188096742e-06,6.81528766525409e-06,"Loxl3/Apoe/Mertk/Sdc4/Tnfaip3/Arg1/Adora2a/Pdgfa/Il2ra/Gpnmb/Bank1/Zc3h12d/Ptger3/Flt3/Lax1/Tarm1/Prnp/Lrrc32",18
"GO:0007204","BP","GO:0007204","positive regulation of cytosolic calcium ion concentration","23/465","316/23239",1.18215163486433e-07,1.55395739099101e-05,1.15967269036436e-05,"Cd36/Gata2/Snca/Gpr35/Cd38/Cxcl3/P2rx7/Cd19/Tgm2/Lpar1/Ptger3/C3ar1/Cmklr1/Ackr3/S1pr1/Gpr157/P2ry6/Gpr55/P2ry10/Kdr/Gpr174/Prnp/Capn3",23
"GO:1903708","BP","GO:1903708","positive regulation of hemopoiesis","18/465","204/23239",1.68883053778508e-07,2.15062013796069e-05,1.60494454725694e-05,"Mpl/Gata2/Ada/Il6/Il2ra/Gfi1b/Rasgrp1/Car2/Zbtb46/Lef1/Tal1/Pf4/Gata1/Il2rg/Shb/Rab7b/Rag1/Cd101",18
"GO:0050900","BP","GO:0050900","leukocyte migration","23/465","326/23239",2.06584853900278e-07,2.55100993831404e-05,1.90374367756907e-05,"Ccl24/Mcoln2/Eps8/Lbp/Ada/Gpr35/Itga6/Padi2/Spp1/Ppbp/Pf4/Cxcl3/Add2/Klrk1/Ptpro/Fut7/Camk1d/Ptger3/C3ar1/Tnfrsf18/Cmklr1/S1pr1/Slamf8",23
"GO:0034121","BP","GO:0034121","regulation of toll-like receptor signaling pathway","10/465","59/23239",2.44217682990534e-07,2.92702075937184e-05,2.18434949275434e-05,"Cd36/Lbp/Tnfaip3/Irf7/Dab2ip/Smpdl3b/Nlrp6/Tlr1/Rab7b/Tlr5",10
"GO:0001776","BP","GO:0001776","leukocyte homeostasis","13/465","108/23239",2.55584760661859e-07,2.97573685627736e-05,2.22070488286349e-05,"Mpl/Mertk/Ada/Tnfaip3/Il6/Spta1/Il2ra/P2rx7/Lat/Flt3/Chst3/Rag1/Gpr174",13
"GO:0051250","BP","GO:0051250","negative regulation of lymphocyte activation","15/465","147/23239",2.78930534693748e-07,3.15733869132507e-05,2.35622899043929e-05,"Loxl3/Mertk/Sdc4/Tnfaip3/Arg1/Adora2a/Il2ra/Gpnmb/Bank1/Zc3h12d/Flt3/Lax1/Tarm1/Prnp/Lrrc32",15
"GO:0008360","BP","GO:0008360","regulation of cell shape","15/465","148/23239",3.04782776906284e-07,3.35672923214353e-05,2.50502828586701e-05,"Hpn/Rhoc/Ccl24/Fblim1/Plekho1/Eps8/Epb42/Il6/Spta1/Pdpn/Plxna1/Plxnb3/Lpar1/Kdr/Cdc42ep5",15
